formula,Temperature,ThermalCond W/m.K
SrNd0.2Ti0.8O3,400,4.83
Ca0.96Bi0.04Mn0.96Nb0.04O3,700,1.8785
Ca2.97Na0.03AlSb3,400,1.24
Ca2.7Bi0.3Co4O9,400,1.9
Cu2Se,300,0.97
Ca4.75Na0.25Al2Sb6,400,1.16
Sr0.9Y0.1TiO3,300,7.0
In1.9Ge0.1O3,400,5.09141
Ca0.9Y0.1MnO3,700,1.6007676920000000
Mg1.95Ca0.05Si,400,4.9
Sm1.7Ca0.3MnO3,300,1.1
Cu2Se,1000,0.745
Mn1.3Mo6S8,300,1.4323
Ti0.98Nb0.02NiSn,400,6.3283
Ca3Co4O9,400,3.444
Sr2Ti0.8Nb0.2O4,1000,1.92
Zr0.98Nb0.02NiSn,400,8.6783
Sn1.2S1.2Ti2S4,700,1.69
In2O3,1000,2.9762300000000000
Ti0.99Nb0.01NiSn,700,4.8184
Fe1.94Ti0.06O3,300,6.39
TlTiPS5,300,0.7830000000000000
In0.3Co4Sb12,300,2.68777
WO2.9,1000,3.6010000000000000
La3Te3.8Sb0.2,700,2.72
Si0.79936Ge0.19984B0.0008,1000,3.59911
Mg2Si0.98Ag0.02,400,6.06
Mo6Te7S,400,3.09729
Ca5Al2Sb6,700,0.764
NaCo2O4,1000,2.2237
Cu4.0Mo6S8,700,1.7908
Zn4Sb3,700,0.74
Zr0.5Hf0.5NiSn1.998Sb0.002,700,2.946859925
Ca0.9Ho0.1MnO3,400,1.545616006
Cu4.0Mo6S8,400,1.4306
La3Te3.35Sb0.65,300,1.47
Tl0.01Pb0.99Te,700,0.965347
La3Te3.65Sb0.35,300,2.05
Ag0.15Sb0.15Te1.15Ge0.85,1000,2.27167
CuCr0.96Mg0.04O2,700,7.9727
Ba8Ga18Ge28,400,1.4
ZrNiSn,300,10.1428
Pb0.94Sr0.04TeNa0.02,1000,0.98
In1.8Ge0.2O3,700,1.83597
TiNiSn,1000,7.71
La2.99Te4,300,2.46
Ba7SrAl16Si30,1000,2.57
CuCrO2,300,6.5859
Mg2Si0.995Bi0.005,700,4.29
Zr0.98Nb0.02NiSn,300,10.0594
Fe1.96Ti0.04O3,400,6.87
Fe0.978Co0.00196Si1.96Y0.04O0.06,700,3.95
Si0.8Ge0.2,300,2.44922
Na0.02Pb0.98Te,700,1.39286
Zn0.99Al0.01O,400,30.21
Zn0.9975Al0.0025O,400,2.687
Fe0.978Co0.00196Si1.96Y0.04O0.06,300,4.59
Ca0.9Tb0.1MnO3,300,1.48358962
Zr0.98Nb0.02NiSn,1000,6.2083
SrDy0.08Ti0.92O3,1000,2.97
Fe0.998Co0.002Si2,700,4.9
Pb0.94Sr0.04TeNa0.02,700,1.18
Sr0.146Ga0.285Ge0.569,300,1.06
Zr0.99Nb0.01NiSn,300,9.6761
SrNd0.17Ti0.83O3,700,3.87
Si0.7956Ge0.1989P0.0055,300,4.139470000000000
AgCrSe2,700,0.2056
CuCr0.96Mg0.04O2,300,9.2934
Mg2Si0.98Ag0.02,700,3.67
NbCoSn,700,9.74108
Zr0.5Hf0.5NiSn,300,3.948955807
Zn4Sb3,400,0.74
Mg2Si0.6Ge0.4Bi0.02,1000,1.73
Fe1.96Sn0.04O3,1000,3.08
Ca2.7Na0.3Co4O9,300,2.0
In0.2Co4Sb12,700,1.9414
Tl0.02Pb0.98Te,400,1.6559400000000000
In0.15Co4Sb12,300,2.29861
Ba0.4Sr0.6PbO3,400,2.13295
In0.1Co4Sb12,400,1.90897
Pb0.97Sr0.02TeNa0.01,700,1.03
CaMnO3,300,2.9898
Si0.79936Ge0.19984B0.0008,300,4.33976
CoSb3,273.15,13.0
Bi2Te3,273.15,2.0
PbTe,273.15,1.91
SiGe,273.15,7.1
BiSbTe3,273.15,0.5
CeFe4Sb12,273.15,15.0
Sb2Te3,273.15,0.75
Yb14MnSb11,273.15,1.1
TiO2,293,0.44
TiO2,293,0.38
TiO2,293,0.53
TiO2,293,0.34
TiO2,293,1.11
TiO2,293,0.38
TiO2,293,0.59
TiO2,293,1.29
TiO2,293,1.05
TiO2,293,1.26
TiO2,293,1.05
TiO2,293,0.46
TiO2,293,0.32
TiO2,293,1.21
TiO2,293,0.39
TiO2,293,2.54
TiO2,293,0.38
TiO2,293,1.02
TiO2,293,0.39
TiO2,293,0.87
TiO2,293,0.29
TiO2,293,0.48
CaO,373,15.0
SiO2,298,1.6
C,298,108.0
MgAl2O4,298,16.0
AlN,298,36.0
TiB2,373,70.0
B4C,298,30.0
ZrB2,373,73.0
Si3N4,298,30.0
ZrSiO4,298,8.0
TiO2,373,9.2
TiC,298,30.0
WC,298,40.0
TiN,373,25.0
BeO,298,300.0
U2O,298,12.0
Si,298,150.0
ZrC,773,31.0
Al6Si2O13,373,6.0
SiC,298,110.0
SiO2,298,6.5
SiO2,298,11.0
Al2O3,298,38.0
ZrO2,298,1.8
ThO2,298,14.0
MgO,298,40.0
CaO,773,8.7
SiO2,373,1.7
C,373,107.0
MgAl2O4,373,15.0
AlN,373,33.0
TiB2,773,64.0
B4C,373,25.0
ZrB2,773,67.0
Si3N4,373,28.0
ZrSiO4,373,5.8
TiO2,773,4.5
TiC,373,32.0
WC,1273,45.0
TiN,773,27.0
BeO,373,220.0
U2O,373,8.0
Si,373,110.0
ZrC,1273,35.0
Al6Si2O13,773,4.5
SiC,373,90.0
SiO2,373,5.0
SiO2,373,8.3
Al2O3,373,35.0
ZrO2,373,1.8
ThO2,373,12.0
MgO,373,35.0
CaO,1273,7.8
SiO2,773,2.1
C,773,76.0
MgAl2O4,773,9.0
AlN,773,23.0
B4C,773,21.0
Si3N4,773,21.0
ZrSiO4,773,4.8
TiO2,1273,3.3
TiC,773,36.0
WC,1773,50.0
BeO,773,70.0
U2O,773,4.5
Si,773,45.0
Al6Si2O13,1273,4.0
SiC,773,65.0
SiO2,773,3.6
SiO2,773,5.0
Al2O3,773,11.0
ZrO2,773,2.0
ThO2,773,6.0
MgO,773,16.0
SiO2,1273,5.0
MgAl2O4,1273,6.0
B4C,1273,71.0
Si3N4,1273,14.5
ZrSiO4,1273,4.2
TiC,1273,40.0
BeO,1273,18.0
U2O,1273,3.2
Si,1273,26.0
SiC,1273,45.0
Al2O3,1273,7.0
ZrO2,1273,2.2
ThO2,1273,2.0
MgO,1273,7.0
B4C,1773,15.0
Si3N4,1773,13.0
TiC,1773,45.0
BeO,1773,14.0
SiC,1773,40.0
Al2O3,1773,6.0
ZrO2,1773,2.4
ThO2,1773,2.0
MgO,1773,6.5
